posa_continent;user_location_country;user_location_region;user_location_city;user_id;is_mobile;is_package;channel;srch_ci;srch_co;srch_adults_cnt;srch_children_cnt;srch_rm_cnt;srch_destination_id;srch_destination_type_id;is_booking
3;66;348;48862;12;0;1;9;27.08.2014;31.08.2014;2;0;1;8250;1;0
3;66;348;48862;12;0;1;9;29.08.2014;02.09.2014;2;0;1;8250;1;1
3;66;348;48862;12;0;0;9;29.08.2014;02.09.2014;2;0;1;8250;1;0
3;66;442;35390;93;0;0;3;23.11.2014;28.11.2014;2;0;1;14984;1;0
3;66;442;35390;93;0;0;3;23.11.2014;28.11.2014;2;0;1;14984;1;0
3;66;442;35390;93;0;0;3;23.11.2014;28.11.2014;2;0;1;14984;1;0
3;66;189;10067;501;0;0;2;01.08.2014;02.08.2014;2;0;1;8267;1;0
3;66;189;10067;501;0;1;2;01.08.2014;02.08.2014;2;0;1;8267;1;0
3;66;189;10067;501;0;0;2;01.08.2014;02.08.2014;2;0;1;8267;1;0
3;66;189;10067;501;0;0;2;01.08.2014;02.08.2014;2;0;1;8267;1;0
3;66;189;10067;501;0;0;2;01.08.2014;02.08.2014;2;0;1;8267;1;0
3;66;189;10067;501;0;0;2;01.08.2014;02.08.2014;2;0;1;8267;1;0
3;66;318;22418;756;0;1;9;17.04.2014;20.04.2014;2;0;1;8291;1;0
3;66;318;52078;756;0;1;9;16.04.2014;19.04.2014;2;0;1;8291;1;0
3;66;318;22418;756;0;1;2;17.04.2014;20.04.2014;2;0;1;8291;1;0
3;66;318;22418;756;0;1;2;18.04.2014;20.04.2014;2;0;1;8291;1;0
3;66;318;22418;756;0;1;2;18.04.2014;20.04.2014;2;0;1;8291;1;0
3;66;318;22418;756;0;1;9;17.04.2014;19.04.2014;2;0;1;8291;1;0
3;66;318;52078;756;0;1;9;17.04.2014;19.04.2014;2;0;1;8291;1;0
3;66;318;52078;756;0;1;4;17.04.2014;19.04.2014;2;0;1;8291;1;0
3;66;318;52078;756;0;1;4;18.04.2014;20.04.2014;2;0;1;8291;1;1
3;66;318;21655;756;0;1;2;06.02.2015;08.02.2015;1;0;1;12193;6;0
3;66;318;21655;756;0;1;2;06.02.2015;08.02.2015;1;0;1;12193;6;0
3;66;318;21655;756;0;1;2;06.02.2015;08.02.2015;1;0;1;12193;6;0
3;66;318;52997;776;0;0;9;25.10.2014;26.10.2014;2;0;1;27082;6;0
3;66;318;48382;776;0;1;9;22.01.2015;24.01.2015;1;0;1;8250;1;0
4;195;548;56440;1048;0;1;9;07.09.2013;15.09.2013;2;0;1;1385;1;0
4;195;548;56440;1048;0;1;9;06.09.2013;14.09.2013;2;0;1;1385;1;1
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;1;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;0
4;195;991;47725;1048;0;0;9;26.06.2015;28.06.2015;2;0;1;8803;1;1
4;195;991;20735;1048;0;0;9;13.07.2015;16.07.2015;2;0;1;13474;4;0
3;66;462;41898;1482;0;0;1;24.02.2013;01.03.2013;2;0;1;8857;1;0
3;66;462;41898;1482;0;0;0;24.02.2013;01.03.2013;2;0;1;8857;1;0
3;66;462;41898;1482;0;0;0;24.02.2013;01.03.2013;2;0;1;8857;1;0
3;66;462;41898;1482;0;0;0;01.03.2013;06.03.2013;2;0;1;8857;1;0
3;66;462;41898;1482;0;1;1;21.02.2014;26.02.2014;3;0;2;12009;1;0
3;66;462;41898;1482;0;1;1;22.02.2014;27.02.2014;3;0;2;12009;1;1
3;66;462;41898;1482;0;1;1;21.02.2014;26.02.2014;2;0;1;12009;1;0
3;66;462;41898;1482;0;1;1;22.02.2014;27.02.2014;2;0;1;12009;1;1
3;66;462;41898;1482;0;1;1;23.02.2014;26.02.2014;2;0;1;12009;1;0
3;66;462;41898;1482;0;1;1;24.02.2014;27.02.2014;2;0;1;12009;1;1
3;66;462;41898;1482;0;1;0;21.02.2014;26.02.2014;3;0;2;12009;1;0
3;66;462;41898;1482;0;0;0;21.02.2014;26.02.2014;2;0;1;12009;1;0
3;66;462;41898;1482;0;0;0;22.02.2014;27.02.2014;2;0;1;12009;1;0
3;66;462;41898;1482;0;1;1;21.02.2014;24.02.2014;4;0;2;12009;1;0
3;66;462;41898;1482;0;1;1;21.02.2014;24.02.2014;3;0;2;12009;1;0
3;66;462;41898;1482;0;1;1;21.02.2014;24.02.2014;2;0;1;12009;1;0
3;66;462;41898;1482;0;1;1;21.02.2014;24.02.2014;2;0;2;12009;1;0
3;66;462;41898;1482;0;1;1;21.02.2014;24.02.2014;1;0;1;12009;1;0
3;66;462;41898;1482;0;1;1;21.02.2014;23.02.2014;3;0;2;12009;1;0
3;66;462;41898;1482;0;1;1;21.02.2014;23.02.2014;2;0;2;12009;1;0
3;66;462;41898;1482;0;0;1;22.02.2014;24.02.2014;1;0;1;28494;6;0
3;66;462;41898;1482;0;0;1;22.02.2014;24.02.2014;3;0;2;28494;6;0
3;66;462;41898;1482;0;0;1;22.02.2014;27.02.2014;2;0;1;28494;6;0
3;66;462;41898;1482;0;0;1;22.02.2014;24.02.2014;1;0;1;28494;6;0
3;66;462;41898;1482;0;0;1;22.02.2014;24.02.2014;3;0;2;28494;6;0
3;66;462;49272;1482;0;0;0;05.06.2014;06.06.2014;2;0;1;23454;6;0
3;66;462;49272;1482;0;0;0;05.06.2014;06.06.2014;2;0;1;23454;6;0
3;66;462;41898;1482;0;1;9;29.08.2014;30.08.2014;3;0;1;8266;1;0
3;66;462;41898;1482;0;0;9;30.08.2014;07.09.2014;3;0;1;8266;1;0
3;66;462;41898;1482;0;0;0;07.09.2014;08.09.2014;3;0;1;44269;8;0
3;66;462;41898;1482;0;0;0;07.09.2014;08.09.2014;3;0;1;44269;8;0
3;66;462;41898;1482;0;0;0;07.09.2014;08.09.2014;3;0;1;44269;8;0
3;66;462;41898;1482;0;0;0;07.09.2014;08.09.2014;3;0;1;44269;8;0
3;66;462;41898;1482;0;0;0;07.09.2014;08.09.2014;3;0;1;44269;8;0
3;66;462;41898;1482;0;0;0;07.09.2014;08.09.2014;3;0;1;44269;8;0
3;66;462;41898;1482;0;1;0;31.03.2015;07.04.2015;2;0;1;8855;1;0
3;66;462;41898;1482;0;1;0;31.03.2015;07.04.2015;2;0;1;8855;1;0
3;66;462;41898;1482;0;1;7;27.12.2014;31.12.2014;2;0;1;11938;1;0
3;66;311;45008;1561;0;0;0;19.09.2014;21.09.2014;2;0;1;7635;3;0
3;66;311;45008;1561;0;0;0;19.09.2014;21.09.2014;2;0;1;7635;3;0
3;66;311;45008;1561;0;0;0;19.09.2014;21.09.2014;2;0;1;7635;3;0
3;66;311;45008;1561;0;0;0;19.09.2014;21.09.2014;2;0;1;7635;3;0
3;66;311;45008;1561;0;0;0;19.09.2014;21.09.2014;2;0;1;52565;7;0
3;66;311;45008;1561;0;0;0;19.09.2014;21.09.2014;2;0;1;7635;3;0
3;66;311;45008;1561;0;0;9;19.09.2014;21.09.2014;2;0;1;13393;4;0
3;66;311;45008;1561;0;0;9;19.09.2014;21.09.2014;2;0;1;52565;7;0
3;66;174;40365;1713;0;0;0;06.11.2014;07.11.2014;4;0;2;12702;5;0
3;66;174;40365;1713;0;0;0;06.11.2014;07.11.2014;4;0;2;1571;3;0
3;66;174;40365;1713;0;0;0;11.11.2014;12.11.2014;2;0;2;1571;3;0
3;66;174;40365;1713;0;0;0;11.11.2014;12.11.2014;2;0;2;1571;3;0
3;66;174;40365;1713;0;0;0;01.11.2014;04.11.2014;2;0;1;1571;3;0
3;66;174;40365;1713;0;0;0;07.11.2014;10.11.2014;2;0;1;1571;3;0
3;66;174;40365;1713;0;0;0;11.11.2014;12.11.2014;2;0;2;1571;3;0
3;66;174;40365;1713;0;0;0;31.10.2014;03.11.2014;2;0;1;1571;3;0
3;66;174;40365;1713;0;0;0;11.11.2014;12.11.2014;2;0;2;1571;3;1
3;66;174;21855;1713;0;0;1;11.12.2014;12.12.2014;1;0;1;12861;5;0
3;66;174;21855;1713;0;0;1;11.12.2014;12.12.2014;1;0;1;12861;5;0
3;66;174;21855;1713;0;0;1;11.12.2014;12.12.2014;1;0;1;12861;5;0
3;66;174;21855;1713;0;0;1;11.12.2014;12.12.2014;1;0;1;12861;5;0
3;66;174;21855;1713;0;0;1;11.12.2014;12.12.2014;1;0;1;12861;5;1
1;69;923;23649;2140;1;0;0;06.04.2013;07.04.2013;5;2;3;22494;6;0
1;69;923;23649;2140;1;0;0;06.04.2013;07.04.2013;4;3;2;22494;6;0
1;69;923;23649;2140;1;0;0;06.04.2013;07.04.2013;5;2;3;22494;6;0
1;69;923;23649;2140;1;0;0;06.04.2013;07.04.2013;5;2;3;22494;6;1
1;69;923;23649;2140;1;0;0;06.04.2013;07.04.2013;2;2;1;22494;6;0
2;3;64;12576;2451;0;0;4;26.02.2014;27.02.2014;2;0;1;14038;6;0
2;3;64;12576;2451;0;0;4;27.02.2014;28.02.2014;2;0;1;14038;6;0
2;3;64;12576;2451;0;0;4;25.02.2014;26.02.2014;2;0;1;14038;6;0
2;3;64;12576;2451;0;0;4;28.02.2014;01.03.2014;2;0;1;14038;6;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;53949;3;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;53949;3;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;18489;6;0
2;3;64;12576;2451;0;0;4;28.02.2014;04.03.2014;2;0;1;18489;6;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;18488;6;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;18488;6;0
2;3;64;12576;2451;0;0;4;28.02.2014;04.03.2014;2;0;1;18488;6;0
2;3;64;12576;2451;0;0;4;28.02.2014;01.03.2014;2;0;1;18488;6;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;21788;6;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;18492;6;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;18492;6;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;8785;1;0
2;3;64;12576;2451;0;1;4;26.02.2014;28.02.2014;2;0;1;8785;1;0
2;3;64;12576;2451;0;0;4;26.02.2014;27.02.2014;2;0;1;8785;1;0
2;3;64;12576;2451;0;0;4;27.02.2014;28.02.2014;2;0;1;8785;1;0
2;3;64;12576;2451;0;0;4;26.02.2014;27.02.2014;2;0;1;8785;1;1
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;8785;1;0
2;3;64;12576;2451;0;0;4;26.02.2014;27.02.2014;2;0;1;8785;1;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;21787;6;0
2;3;64;12576;2451;0;0;4;28.02.2014;04.03.2014;2;0;1;21787;6;0
2;3;64;12576;2451;0;0;4;03.03.2014;04.03.2014;2;0;1;21787;6;0
2;3;64;12576;2451;0;0;2;02.03.2014;03.03.2014;2;0;1;18489;6;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;28.08.2014;29.08.2014;2;0;1;8746;1;0
2;3;64;12576;2451;0;0;2;27.08.2014;28.08.2014;2;0;1;17823;1;0
2;3;64;12576;2451;0;0;2;27.08.2014;28.08.2014;2;0;1;17823;1;0
2;3;64;12576;2451;0;0;2;27.08.2014;28.08.2014;2;0;1;17823;1;0
2;3;64;12576;2451;0;0;2;27.08.2014;28.08.2014;2;0;1;17823;1;0
2;3;64;12576;2451;0;0;2;27.08.2014;28.08.2014;2;0;1;17823;1;0
2;3;64;4777;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;2;28.08.2014;29.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;2;31.08.2014;01.09.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;2;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;1;2;30.08.2014;31.08.2014;2;0;1;18492;6;0
2;3;64;4777;2451;0;0;7;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;7;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;4777;2451;0;0;7;26.08.2014;27.08.2014;2;0;1;8845;1;0
2;3;64;4777;2451;0;0;2;27.08.2014;28.08.2014;2;0;1;17823;1;0
2;3;64;4777;2451;0;0;2;27.08.2014;28.08.2014;2;0;1;17823;1;0
2;3;64;4777;2451;0;0;3;30.08.2014;31.08.2014;2;0;1;8746;1;0
2;3;64;47431;2451;0;0;2;08.02.2015;09.02.2015;2;0;1;8740;1;0
2;3;64;47431;2451;0;0;2;09.02.2015;10.02.2015;2;0;1;8740;1;0
2;3;64;47431;2451;0;1;2;06.02.2015;07.02.2015;1;0;1;43705;6;0
2;3;64;47431;2451;0;1;2;06.02.2015;07.02.2015;1;0;1;43705;6;0
2;3;64;47431;2451;0;1;2;06.02.2015;07.02.2015;1;0;1;21790;6;0
2;3;64;9448;2451;0;0;2;08.02.2015;09.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;9;08.02.2015;09.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;2;08.02.2015;09.02.2015;2;0;1;18653;6;0
2;3;64;9448;2451;0;0;2;04.02.2015;11.02.2015;1;0;1;8746;1;0
2;3;64;9448;2451;0;0;2;04.02.2015;11.02.2015;1;0;1;8746;1;0
2;3;64;9448;2451;0;0;0;04.02.2015;05.02.2015;2;0;1;65035;6;0
2;3;64;9448;2451;0;0;0;09.02.2015;10.02.2015;2;0;1;65035;6;0
2;3;64;9448;2451;0;0;0;10.02.2015;11.02.2015;2;0;1;65035;6;0
2;3;64;9448;2451;0;0;0;04.02.2015;05.02.2015;2;0;1;21787;6;0
2;3;64;9448;2451;0;0;0;09.02.2015;10.02.2015;2;0;1;21787;6;0
2;3;64;9448;2451;0;0;0;10.02.2015;11.02.2015;2;0;1;21787;6;0
2;3;64;9448;2451;0;0;0;07.02.2015;08.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;0;05.02.2015;06.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;0;06.02.2015;07.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;0;07.02.2015;08.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;0;06.02.2015;08.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;0;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;0;05.02.2015;06.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;0;07.02.2015;08.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;0;07.02.2015;08.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;0;07.02.2015;08.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;0;07.02.2015;08.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;0;07.02.2015;08.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;2;07.02.2015;08.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;2;07.02.2015;08.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;2;06.02.2015;07.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;2;06.02.2015;07.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;2;06.02.2015;07.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;2;06.02.2015;07.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;1;0;9;05.02.2015;06.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;1;0;9;05.02.2015;06.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;51;9527;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;51;9527;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;51;9527;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;51;9527;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;51;9527;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;51;9527;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;51;9527;2451;1;0;9;06.02.2015;07.02.2015;2;0;1;8785;1;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;4;05.02.2015;06.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;05.02.2015;06.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;05.02.2015;06.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;07.02.2015;08.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;08.02.2015;09.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;09.02.2015;10.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;05.02.2015;06.02.2015;2;0;1;14041;6;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;4;06.02.2015;07.02.2015;2;0;1;14039;6;0
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;8746;1;0
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;65035;6;0
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;65035;6;0
2;3;64;9448;2451;0;0;4;09.02.2015;10.02.2015;2;0;1;65035;6;0
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;65035;6;1
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;18492;6;0
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;18492;6;0
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;18492;6;0
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;18492;6;0
2;3;64;9448;2451;0;0;4;04.02.2015;05.02.2015;2;0;1;18492;6;0
2;3;64;9448;2451;0;0;4;09.02.2015;10.02.2015;2;0;1;18492;6;0
